,0.0189198084661,-3.96754583876
padded,2.65429411702e-06,-12.8393318079

roseae,7.96288235107e-06,-11.7407195192

deep-vein,2.65429411702e-06,-12.8393318079

05:24,2.65429411702e-06,-12.8393318079

tempted,2.65429411702e-06,-12.8393318079

orleans,2.12343529362e-05,-10.7598902662

seagrasses,1.06171764681e-05,-11.4530374468

hi-tech,2.65429411702e-06,-12.8393318079

rico,2.65429411702e-06,-12.8393318079

rick,2.65429411702e-06,-12.8393318079

rich,7.43202352766e-05,-9.50712729774

rice,6.63573529256e-05,-9.62045598305

rica,5.30858823405e-06,-12.1461846274

plate,1.32714705851e-05,-11.2298938955

remotest,2.65429411702e-06,-12.8393318079

7-10,2.65429411702e-06,-12.8393318079

altogether,2.12343529362e-05,-10.7598902662

rectal,5.30858823405e-06,-12.1461846274

nicely,2.65429411702e-06,-12.8393318079

patch,1.59257647021e-05,-11.0475723387

totman,2.65429411702e-06,-12.8393318079

cholima,2.65429411702e-06,-12.8393318079

-18th,2.65429411702e-06,-12.8393318079

sensitivity,3.18515294043e-05,-10.3544251581

three-bedroom,2.65429411702e-06,-12.8393318079

ctvt,2.65429411702e-06,-12.8393318079

playfulness,5.30858823405e-06,-12.1461846274

lots,8.75917058617e-05,-9.34282424645

tyre-sized,2.65429411702e-06,-12.8393318079

conductive,3.18515294043e-05,-10.3544251581

spectrometers,2.65429411702e-06,-12.8393318079

redistricting,5.30858823405e-06,-12.1461846274

extend,3.45058235213e-05,-10.2743824505

nature,0.000435304235192,-7.73946538009

extent,3.18515294043e-05,-10.3544251581

goby,1.59257647021e-05,-11.0475723387

himalayas,1.06171764681e-05,-11.4530374468

heating,2.12343529362e-05,-10.7598902662

incense,2.65429411702e-06,-12.8393318079

himalayan,2.65429411702e-06,-12.8393318079

southeastern,1.85800588192e-05,-10.8934216589

eradicate,5.30858823405e-06,-12.1461846274

twenty-three,2.65429411702e-06,-12.8393318079

month-long,2.65429411702e-06,-12.8393318079

twinkle-toed,2.65429411702e-06,-12.8393318079

nanomoles,2.65429411702e-06,-12.8393318079

union,4.77772941064e-05,-9.94896005002

muck,5.30858823405e-06,-12.1461846274

much,0.000812213999809,-7.11574670596

progenitor,7.96288235107e-06,-11.7407195192

space-torturing,2.65429411702e-06,-12.8393318079

obese,3.71601176383e-05,-10.2002744783

embryonically,2.65429411702e-06,-12.8393318079

spit,1.06171764681e-05,-11.4530374468

age-progression,2.65429411702e-06,-12.8393318079

conifers,2.65429411702e-06,-12.8393318079

jeon,5.30858823405e-06,-12.1461846274

dave,2.65429411702e-06,-12.8393318079

doubts,2.65429411702e-05,-10.5367467149

spin,1.59257647021e-05,-11.0475723387

propellants,2.65429411702e-06,-12.8393318079

13th,1.06171764681e-05,-11.4530374468

employ,2.65429411702e-06,-12.8393318079

climate-indicative,2.65429411702e-06,-12.8393318079

prostrate,2.65429411702e-06,-12.8393318079

polysaccharide,5.30858823405e-06,-12.1461846274

saltiness,2.65429411702e-06,-12.8393318079

mega-continent,2.65429411702e-06,-12.8393318079

conditioned,2.65429411702e-06,-12.8393318079

eighteen,2.65429411702e-06,-12.8393318079

verged,2.65429411702e-06,-12.8393318079

half-billion,5.30858823405e-06,-12.1461846274

hone,1.85800588192e-05,-10.8934216589

memorial,2.65429411702e-06,-12.8393318079

pre-1988,2.65429411702e-06,-12.8393318079

mummified,7.96288235107e-06,-11.7407195192

pre-1980,2.65429411702e-06,-12.8393318079

uk-governed,2.65429411702e-06,-12.8393318079

spews,5.30858823405e-06,-12.1461846274

split,5.83944705745e-05,-9.74828935456

most-observed,2.65429411702e-06,-12.8393318079

effortlessly,5.30858823405e-06,-12.1461846274

inadvertently,7.96288235107e-06,-11.7407195192

workforce,2.65429411702e-06,-12.8393318079

polycyclic,2.65429411702e-06,-12.8393318079

bioresources,2.65429411702e-06,-12.8393318079

schlessinger,5.30858823405e-06,-12.1461846274

cost-effectiveness,2.65429411702e-06,-12.8393318079

pullin,7.96288235107e-06,-11.7407195192

down-welling,5.30858823405e-06,-12.1461846274

noblewoman,2.65429411702e-06,-12.8393318079

academic,4.24687058724e-05,-10.0667430857

academia,2.65429411702e-06,-12.8393318079

corporate,1.06171764681e-05,-11.4530374468

cloud-type,2.65429411702e-06,-12.8393318079

spider-like,2.65429411702e-06,-12.8393318079

frog-sniffing,2.65429411702e-06,-12.8393318079

portrayed,2.65429411702e-06,-12.8393318079

hal,2.65429411702e-06,-12.8393318079

ham,7.96288235107e-06,-11.7407195192

han,2.65429411702e-06,-12.8393318079

hab,7.96288235107e-06,-11.7407195192

had,0.00177572276429,-6.33354774779

advancement,1.59257647021e-05,-11.0475723387

hay,5.30858823405e-06,-12.1461846274

mcnamara,1.85800588192e-05,-10.8934216589

beloved,2.65429411702e-06,-12.8393318079

has,0.00307898117575,-5.78315652381

hat,5.30858823405e-06,-12.1461846274

hau,2.65429411702e-06,-12.8393318079

carcharodontosaurids,2.65429411702e-06,-12.8393318079

dokka,7.96288235107e-06,-11.7407195192

municipal,2.65429411702e-06,-12.8393318079

elders,2.65429411702e-06,-12.8393318079

survival,8.22831176277e-05,-9.40534460343

compaction,2.65429411702e-06,-12.8393318079

clustered,2.65429411702e-06,-12.8393318079

solid-state,2.65429411702e-06,-12.8393318079

fortis,1.59257647021e-05,-11.0475723387

plutons,5.30858823405e-06,-12.1461846274

bernd,2.65429411702e-06,-12.8393318079

alice,1.06171764681e-05,-11.4530374468

warping,7.96288235107e-06,-11.7407195192

beneficial,3.71601176383e-05,-10.2002744783

uchinoura,2.65429411702e-06,-12.8393318079

crowd,1.85800588192e-05,-10.8934216589

czech,5.30858823405e-06,-12.1461846274

begin,4.51229999894e-05,-10.0061184639

proportionally,5.30858823405e-06,-12.1461846274

captive,7.96288235107e-06,-11.7407195192

bottom,7.16659411596e-05,-9.54349494191

treadmill,2.65429411702e-06,-12.8393318079

slivers,2.65429411702e-06,-12.8393318079

palaeogeography,2.65429411702e-06,-12.8393318079

barcode,2.65429411702e-06,-12.8393318079

eduard,2.65429411702e-06,-12.8393318079

soljacic,1.59257647021e-05,-11.0475723387

starring,2.65429411702e-06,-12.8393318079

filaments,7.96288235107e-06,-11.7407195192

restlessness,5.30858823405e-06,-12.1461846274

benches,7.96288235107e-06,-11.7407195192

dermatologists,2.65429411702e-06,-12.8393318079

earthquake-generated,2.65429411702e-06,-12.8393318079

aden,2.65429411702e-06,-12.8393318079

marshall,7.96288235107e-06,-11.7407195192

administer,2.65429411702e-06,-12.8393318079

beings,7.96288235107e-06,-11.7407195192

marshals,2.65429411702e-06,-12.8393318079

hallucinogenic,5.30858823405e-06,-12.1461846274

shoots,7.96288235107e-06,-11.7407195192

fabric,3.45058235213e-05,-10.2743824505

altitude,2.38886470532e-05,-10.6421072306

absolutely,2.65429411702e-05,-10.5367467149

16000,5.30858823405e-06,-12.1461846274

grooms,2.65429411702e-06,-12.8393318079

perfumes,5.30858823405e-06,-12.1461846274

safeguard,5.30858823405e-06,-12.1461846274

arrays,1.32714705851e-05,-11.2298938955

break-up,5.30858823405e-06,-12.1461846274

open-air,5.30858823405e-06,-12.1461846274

complications,2.12343529362e-05,-10.7598902662

otoacoustic,5.30858823405e-06,-12.1461846274

smashed,2.12343529362e-05,-10.7598902662

duet,2.65429411702e-06,-12.8393318079

passenger,1.32714705851e-05,-11.2298938955

disgrace,2.65429411702e-06,-12.8393318079

minas,2.65429411702e-06,-12.8393318079

paperwork,2.65429411702e-06,-12.8393318079

fibroids,2.65429411702e-06,-12.8393318079

triangles,2.65429411702e-06,-12.8393318079

eventual,1.59257647021e-05,-11.0475723387

dowling,1.06171764681e-05,-11.4530374468

cambodia,2.65429411702e-06,-12.8393318079

pasadena,7.96288235107e-06,-11.7407195192

role,0.00019641776466,-8.53526671471

aerosol,2.91972352872e-05,-10.4414365351

vegetative,1.06171764681e-05,-11.4530374468

roll,1.32714705851e-05,-11.2298938955

intend,5.30858823405e-06,-12.1461846274

palms,7.96288235107e-06,-11.7407195192

transported,1.06171764681e-05,-11.4530374468

callithrix,2.65429411702e-06,-12.8393318079

intent,1.32714705851e-05,-11.2298938955

smelling,2.65429411702e-06,-12.8393318079

variable,7.96288235107e-06,-11.7407195192

transporter,1.85800588192e-05,-10.8934216589

explosions,3.71601176383e-05,-10.2002744783

overturned,1.06171764681e-05,-11.4530374468

cincinnati,7.96288235107e-06,-11.7407195192

chain,5.30858823405e-05,-9.84359953436

chair,3.71601176383e-05,-10.2002744783

nonproliferation,2.65429411702e-06,-12.8393318079

machu,2.65429411702e-06,-12.8393318079

ballet,5.30858823405e-06,-12.1461846274

amplification,2.65429411702e-06,-12.8393318079

ionise,2.65429411702e-06,-12.8393318079

megawatts,2.65429411702e-06,-12.8393318079

photocopiers,5.30858823405e-06,-12.1461846274

crater,6.10487646915e-05,-9.70383759199

de-clutter,2.65429411702e-06,-12.8393318079

macho,5.30858823405e-06,-12.1461846274

tenacious,2.65429411702e-06,-12.8393318079

downloading,1.32714705851e-05,-11.2298938955

bulletin,2.12343529362e-05,-10.7598902662

olympus,5.30858823405e-06,-12.1461846274

choice,8.22831176277e-05,-9.40534460343

mobilise,2.65429411702e-06,-12.8393318079

ghostbusters,2.65429411702e-06,-12.8393318079

fuiman,5.30858823405e-06,-12.1461846274

stays,7.96288235107e-06,-11.7407195192

exact,2.91972352872e-05,-10.4414365351

palaeoclimatology,2.65429411702e-06,-12.8393318079

minute,6.37030588085e-05,-9.66127797757

cooks,2.65429411702e-06,-12.8393318079

reining,2.65429411702e-06,-12.8393318079

homebody,2.65429411702e-06,-12.8393318079

82-metre,2.65429411702e-06,-12.8393318079

pursue,2.65429411702e-06,-12.8393318079

batsmen,1.06171764681e-05,-11.4530374468

zeresenay,2.65429411702e-06,-12.8393318079

trails,7.96288235107e-06,-11.7407195192

lengthened,2.65429411702e-06,-12.8393318079

gnawed,2.65429411702e-06,-12.8393318079

agonists,2.65429411702e-06,-12.8393318079

celebrated,1.06171764681e-05,-11.4530374468

300,5.57401764575e-05,-9.79480937019

crackling,5.30858823405e-06,-12.1461846274

boost,4.51229999894e-05,-10.0061184639

unintentionally,5.30858823405e-06,-12.1461846274

drafted,5.30858823405e-06,-12.1461846274

honour,1.32714705851e-05,-11.2298938955

vanderbilt,2.65429411702e-06,-12.8393318079

address,2.65429411702e-05,-10.5367467149

benson,5.30858823405e-06,-12.1461846274

revenues,2.65429411702e-06,-12.8393318079

woo-suk,2.38886470532e-05,-10.6421072306

dusty,7.96288235107e-06,-11.7407195192

impacted,2.65429411702e-06,-12.8393318079

accomplished,7.96288235107e-06,-11.7407195192

influx,2.65429411702e-06,-12.8393318079

undergone,7.96288235107e-06,-11.7407195192

working,0.000307898117575,-8.08574161681

wane,2.65429411702e-06,-12.8393318079

opposed,2.65429411702e-05,-10.5367467149

rehovot,2.65429411702e-06,-12.8393318079

assimilation,5.30858823405e-06,-12.1461846274

cardinality,2.65429411702e-06,-12.8393318079

riders,7.96288235107e-06,-11.7407195192

rebounding,2.65429411702e-06,-12.8393318079

currency,7.96288235107e-06,-11.7407195192

originally,5.83944705745e-05,-9.74828935456

abortion,4.24687058724e-05,-10.0667430857

following,5.30858823405e-05,-9.84359953436

admired,2.65429411702e-06,-12.8393318079

mirrors,7.96288235107e-06,-11.7407195192

incremental,2.65429411702e-06,-12.8393318079

listens,2.65429411702e-06,-12.8393318079

litre,1.85800588192e-05,-10.8934216589

septic,2.65429411702e-06,-12.8393318079

tobiska,2.65429411702e-06,-12.8393318079

liverpool,2.65429411702e-06,-12.8393318079

neuch,2.65429411702e-06,-12.8393318079

reassessment,2.65429411702e-06,-12.8393318079

stapes,2.65429411702e-06,-12.8393318079

brainless,2.65429411702e-06,-12.8393318079

temperate,1.59257647021e-05,-11.0475723387

conscious,3.71601176383e-05,-10.2002744783

up-thrusting,2.65429411702e-06,-12.8393318079

mango,1.85800588192e-05,-10.8934216589

forebears,5.30858823405e-06,-12.1461846274

swollen,2.65429411702e-06,-12.8393318079

wolves,1.06171764681e-05,-11.4530374468

pulled,1.59257647021e-05,-11.0475723387

cartilages,2.65429411702e-06,-12.8393318079

webpage,2.65429411702e-06,-12.8393318079

years,0.00190312888191,-6.26425596731

professors,7.96288235107e-06,-11.7407195192

episodes,3.45058235213e-05,-10.2743824505

jin,5.30858823405e-06,-12.1461846274

jim,1.59257647021e-05,-11.0475723387

troubled,1.06171764681e-05,-11.4530374468

modestly,2.65429411702e-06,-12.8393318079

recipients,7.96288235107e-06,-11.7407195192

civilian,5.30858823405e-06,-12.1461846274

indigenous,5.30858823405e-05,-9.84359953436

drilling,5.30858823405e-06,-12.1461846274

sorted,2.65429411702e-06,-12.8393318079

bedevil,2.65429411702e-06,-12.8393318079

prophylaxis,1.32714705851e-05,-11.2298938955

fisherman,5.30858823405e-06,-12.1461846274

electrochromic,5.30858823405e-06,-12.1461846274

instability,1.59257647021e-05,-11.0475723387

pendry,2.65429411702e-06,-12.8393318079

quarter,3.45058235213e-05,-10.2743824505

honduras,2.65429411702e-06,-12.8393318079

bursting,2.65429411702e-06,-12.8393318079

dowdeswell,2.65429411702e-06,-12.8393318079

frames,2.65429411702e-06,-12.8393318079

sponsor,2.65429411702e-06,-12.8393318079

entering,1.59257647021e-05,-11.0475723387

salads,2.65429411702e-06,-12.8393318079

disasters,1.32714705851e-05,-11.2298938955

grethe,2.65429411702e-06,-12.8393318079

seriously,3.71601176383e-05,-10.2002744783

trauma,5.30858823405e-06,-12.1461846274

internet,0.000214997823479,-8.44488265324

complicates,2.65429411702e-06,-12.8393318079

disintegrated,5.30858823405e-06,-12.1461846274

incentives,5.30858823405e-06,-12.1461846274

lucrative,5.30858823405e-06,-12.1461846274

modest,7.96288235107e-06,-11.7407195192

initiate,7.96288235107e-06,-11.7407195192

aboard,5.04315882234e-05,-9.89489282875

neglect,2.65429411702e-06,-12.8393318079

emotion,2.12343529362e-05,-10.7598902662

saving,1.06171764681e-05,-11.4530374468

symmetry,5.30858823405e-06,-12.1461846274

spoken,1.85800588192e-05,-10.8934216589

superhero-like,2.65429411702e-06,-12.8393318079

parkinson,1.59257647021e-05,-11.0475723387

one,0.00236763035238,-6.04586567533

lingering,5.30858823405e-06,-12.1461846274

shawn,2.65429411702e-06,-12.8393318079

surges,5.30858823405e-06,-12.1461846274

herds,5.30858823405e-06,-12.1461846274

specialists,7.96288235107e-06,-11.7407195192

surged,2.65429411702e-06,-12.8393318079

coin-boxes,2.65429411702e-06,-12.8393318079

non-stop,2.65429411702e-06,-12.8393318079

high-scoring,2.65429411702e-06,-12.8393318079

wandering,2.65429411702e-06,-12.8393318079

illness,5.04315882234e-05,-9.89489282875

ishida,5.30858823405e-06,-12.1461846274

turned,9.02459999788e-05,-9.3129712833

locations,3.45058235213e-05,-10.2743824505

auroras,5.30858823405e-06,-12.1461846274

turner,3.18515294043e-05,-10.3544251581

cigarettes,2.65429411702e-06,-12.8393318079

warriors,1.32714705851e-05,-11.2298938955

zoo,2.12343529362e-05,-10.7598902662

intends,2.65429411702e-06,-12.8393318079

europeans,1.32714705851e-05,-11.2298938955

sprawls,2.65429411702e-06,-12.8393318079

printer,2.91972352872e-05,-10.4414365351

opposite,6.37030588085e-05,-9.66127797757

buffer,7.96288235107e-06,-11.7407195192

spewing,1.06171764681e-05,-11.4530374468

printed,1.85800588192e-05,-10.8934216589

phil,5.30858823405e-06,-12.1461846274

messier,2.65429411702e-06,-12.8393318079

obsidian,5.30858823405e-06,-12.1461846274

wynn,2.65429411702e-06,-12.8393318079

imagines,7.96288235107e-06,-11.7407195192

friction,7.96288235107e-06,-11.7407195192

inconsistent,5.30858823405e-06,-12.1461846274

heeding,2.65429411702e-06,-12.8393318079

aggressive,5.30858823405e-05,-9.84359953436

imagined,7.96288235107e-06,-11.7407195192

zahi,2.65429411702e-06,-12.8393318079

reconciling,2.65429411702e-06,-12.8393318079

simplistic,7.96288235107e-06,-11.7407195192

chromososmes,2.65429411702e-06,-12.8393318079

cyclopentasiline,2.65429411702e-06,-12.8393318079

vision,4.77772941064e-05,-9.94896005002

biogeography,1.06171764681e-05,-11.4530374468

attenuated,5.30858823405e-06,-12.1461846274

airfares,2.65429411702e-06,-12.8393318079

impressions,5.30858823405e-06,-12.1461846274

euclid,2.65429411702e-06,-12.8393318079

intoxicating,2.65429411702e-06,-12.8393318079

alarming,5.30858823405e-06,-12.1461846274

vaccines,9.82088823298e-05,-9.22841389527

moons,5.30858823405e-05,-9.84359953436

pycnogonids,2.65429411702e-06,-12.8393318079

palimpsest,5.30858823405e-06,-12.1461846274

awards,1.06171764681e-05,-11.4530374468

concentrated,3.45058235213e-05,-10.2743824505

busting,2.65429411702e-06,-12.8393318079

circumference,2.65429411702e-06,-12.8393318079

rhodes,5.30858823405e-06,-12.1461846274

flipped,7.96288235107e-06,-11.7407195192

s,0.00741344346884,-4.90446024197

workplace,2.91972352872e-05,-10.4414365351

expended,2.65429411702e-06,-12.8393318079

grooming,4.51229999894e-05,-10.0061184639

donoghue,7.96288235107e-06,-11.7407195192

buoyancy,1.06171764681e-05,-11.4530374468

atala,2.12343529362e-05,-10.7598902662

accelerometer,2.65429411702e-06,-12.8393318079

kerrey,5.30858823405e-06,-12.1461846274

west,0.000108826058798,-9.12575974121

collided,1.59257647021e-05,-11.0475723387

practised,5.30858823405e-06,-12.1461846274

motives,1.06171764681e-05,-11.4530374468

split-second,2.65429411702e-06,-12.8393318079

itch-induced,2.65429411702e-06,-12.8393318079

wants,5.57401764575e-05,-9.79480937019

formed,0.000156603352904,-8.76179436401

photon,5.30858823405e-06,-12.1461846274

readings,2.65429411702e-06,-12.8393318079

photos,3.18515294043e-05,-10.3544251581

